,gene_id,gene_name,disease,disease_ontology_id,ct_marker_evidence,disease_evidence,disease_ct_evidence,bulk_disease_evidence,genetic_evidence_OT,is_hvg_normal,is_hvg_disease,ti_uid,indication_mesh_id,indication_mesh_term,combined_max_phase,succ_p_1,succ_1_2,succ_2_3,succ_3_a,target_status,MONDO,genetic_evidence_minikel
102982,ENSG00000105835,NAMPT,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NAMPT-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
102984,ENSG00000105851,PIK3CG,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PIK3CG-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
102987,ENSG00000105855,ITGB8,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ITGB8-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
103120,ENSG00000106991,ENG,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ENG-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
103162,ENSG00000107643,MAPK8,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,MAPK8-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
103282,ENSG00000108821,COL1A1,pulmonary fibrosis,MONDO_0002771,0.0,1.0,1.0,0.0,0.0,1.0,1.0,COL1A1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
103331,ENSG00000109321,AREG,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,AREG-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
103600,ENSG00000112033,PPARD,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PPARD-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
103745,ENSG00000113448,PDE4D,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4D-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
103861,ENSG00000114812,VIPR1,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,VIPR1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
103905,ENSG00000115221,ITGB6,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ITGB6-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
103930,ENSG00000115353,TACR1,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,TACR1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
104259,ENSG00000118523,CCN2,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CCN2-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
104559,ENSG00000121966,CXCR4,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CXCR4-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
104564,ENSG00000122025,FLT3,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,FLT3-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
104988,ENSG00000126353,CCR7,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CCR7-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
105470,ENSG00000131471,AOC3,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,AOC3-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
105490,ENSG00000131724,IL13RA1,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL13RA1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
105518,ENSG00000131981,LGALS3,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,LGALS3-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
105531,ENSG00000132170,PPARG,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PPARG-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
105643,ENSG00000133048,CHI3L1,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CHI3L1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
105788,ENSG00000134318,ROCK2,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ROCK2-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
105903,ENSG00000135218,CD36,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CD36-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
106055,ENSG00000136160,EDNRB,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,EDNRB-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
106118,ENSG00000136634,IL10,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL10-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
106137,ENSG00000136810,TXN,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TXN-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
106154,ENSG00000136869,TLR4,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TLR4-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
106176,ENSG00000136960,ENPP2,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ENPP2-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
106283,ENSG00000137801,THBS1,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THBS1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
106395,ENSG00000138448,ITGAV,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ITGAV-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
106426,ENSG00000138685,FGF2,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,FGF2-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
106432,ENSG00000138735,PDE5A,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE5A-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
106674,ENSG00000140937,CDH11,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CDH11-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
107521,ENSG00000149021,SCGB1A1,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,SCGB1A1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
107544,ENSG00000149257,SERPINH1,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SERPINH1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
107719,ENSG00000151617,EDNRA,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,EDNRA-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
108240,ENSG00000157404,KIT,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,KIT-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
108391,ENSG00000159110,IFNAR2,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IFNAR2-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
108457,ENSG00000159958,TNFRSF13C,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,TNFRSF13C-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
108459,ENSG00000160013,PTGIR,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,1.0,0.0,1.0,1.0,PTGIR-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase III,True,True,True,False,unsupported target,MONDO_0008345,0.0
108816,ENSG00000163106,HPGDS,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,HPGDS-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
109940,ENSG00000168918,INPP5D,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,INPP5D-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase III,True,True,True,False,unsupported target,MONDO_0008345,0.0
110020,ENSG00000169398,PTK2,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PTK2-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
110370,ENSG00000171608,PIK3CD,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PIK3CD-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
110464,ENSG00000172216,CEBPB,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CEBPB-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
110512,ENSG00000172572,PDE3A,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE3A-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
110997,ENSG00000176601,MAP3K19,pulmonary fibrosis,MONDO_0002771,1.0,0.0,0.0,0.0,0.0,1.0,1.0,MAP3K19-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
111192,ENSG00000178607,ERN1,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ERN1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
111571,ENSG00000182578,CSF1R,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CSF1R-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
111832,ENSG00000184584,STING1,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TMEM173-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
111833,ENSG00000184588,PDE4B,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4B-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
112630,ENSG00000197081,IGF2R,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IGF2R-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase I,True,False,False,False,unsupported target,MONDO_0008345,0.0
112817,ENSG00000198121,LPAR1,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,LPAR1-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
113023,ENSG00000198959,TGM2,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TGM2-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
113850,ENSG00000240972,MIF,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,MIF-D054990,D054990,Idiopathic Pulmonary Fibrosis,Preclinical,False,False,False,False,unsupported target,MONDO_0008345,0.0
114062,ENSG00000254087,LYN,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,LYN-D054990,D054990,Idiopathic Pulmonary Fibrosis,Launched,True,True,True,True,unsupported target,MONDO_0008345,0.0
114350,ENSG00000273079,GRIN2B,pulmonary fibrosis,MONDO_0002771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,GRIN2B-D054990,D054990,Idiopathic Pulmonary Fibrosis,Phase II,True,True,False,False,unsupported target,MONDO_0008345,0.0
115507,ENSG00000067182,TNFRSF1A,interstitial lung disease,MONDO_0015925,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TNFRSF1A-D017563,D017563,"Lung Diseases, Interstitial",Phase III,True,True,True,False,unsupported target,MONDO_0015925,0.0
117133,ENSG00000105329,TGFB1,interstitial lung disease,MONDO_0015925,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TGFB1-D017563,D017563,"Lung Diseases, Interstitial",Phase III,True,True,True,False,unsupported target,MONDO_0015925,0.0
118451,ENSG00000118257,NRP2,interstitial lung disease,MONDO_0015925,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NRP2-D017563,D017563,"Lung Diseases, Interstitial",Phase II,True,True,False,False,unsupported target,MONDO_0015925,0.0
128690,ENSG00000004468,CD38,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CD38-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
128692,ENSG00000007312,CD79B,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CD79B-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
128693,ENSG00000010671,BTK,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,BTK-D008224,D008224,"Lymphoma, Follicular",Phase III,True,True,True,False,unsupported target,MONDO_0018906,0.0
128695,ENSG00000012124,CD22,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CD22-D008224,D008224,"Lymphoma, Follicular",Phase III,True,True,True,False,unsupported target,MONDO_0018906,0.0
128723,ENSG00000101017,CD40,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CD40-D008224,D008224,"Lymphoma, Follicular",Preclinical,False,False,False,False,unsupported target,MONDO_0018906,0.0
128732,ENSG00000105810,CDK6,follicular lymphoma,MONDO_0018906,0.0,1.0,0.0,1.0,0.0,1.0,1.0,CDK6-D008224,D008224,"Lymphoma, Follicular",Phase I,True,False,False,False,unsupported target,MONDO_0018906,0.0
128733,ENSG00000105851,PIK3CG,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PIK3CG-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128735,ENSG00000106462,EZH2,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,EZH2-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128747,ENSG00000116478,HDAC1,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,HDAC1-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
128798,ENSG00000156738,MS4A1,follicular lymphoma,MONDO_0018906,1.0,0.0,0.0,0.0,0.0,1.0,1.0,MS4A1-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128799,ENSG00000157404,KIT,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,KIT-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
128801,ENSG00000159110,IFNAR2,follicular lymphoma,MONDO_0018906,0.0,1.0,0.0,1.0,0.0,1.0,1.0,IFNAR2-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128812,ENSG00000165025,SYK,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SYK-D008224,D008224,"Lymphoma, Follicular",Preclinical,False,False,False,False,unsupported target,MONDO_0018906,0.0
128815,ENSG00000166501,PRKCB,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,PRKCB-D008224,D008224,"Lymphoma, Follicular",Phase I,True,False,False,False,unsupported target,MONDO_0018906,0.0
128824,ENSG00000171608,PIK3CD,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,PIK3CD-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128826,ENSG00000171791,BCL2,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,BCL2-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,genetically supported target,MONDO_0018906,1.0
128832,ENSG00000177455,CD19,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CD19-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128846,ENSG00000188389,PDCD1,follicular lymphoma,MONDO_0018906,1.0,1.0,0.0,1.0,0.0,1.0,1.0,PDCD1-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
128860,ENSG00000198851,CD3E,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,1.0,0.0,1.0,1.0,CD3E-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128867,ENSG00000213923,CSNK1E,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CSNK1E-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
128871,ENSG00000239732,TLR9,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TLR9-D008224,D008224,"Lymphoma, Follicular",Preclinical,False,False,False,False,unsupported target,MONDO_0018906,0.0
129175,ENSG00000019582,CD74,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CD74-D008224,D008224,"Lymphoma, Follicular",Phase I,True,False,False,False,unsupported target,MONDO_0018906,0.0
129826,ENSG00000072694,FCGR2B,follicular lymphoma,MONDO_0018906,1.0,0.0,0.0,0.0,0.0,1.0,1.0,FCGR2B-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
131209,ENSG00000104894,CD37,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CD37-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
131712,ENSG00000109320,NFKB1,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NFKB1-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
132930,ENSG00000122025,FLT3,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,FLT3-D008224,D008224,"Lymphoma, Follicular",Preclinical,False,False,False,False,unsupported target,MONDO_0018906,0.0
134475,ENSG00000136869,TLR4,follicular lymphoma,MONDO_0018906,0.0,0.0,0.0,1.0,0.0,1.0,1.0,TLR4-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
138116,ENSG00000169442,CD52,follicular lymphoma,MONDO_0018906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CD52-D008224,D008224,"Lymphoma, Follicular",Phase I,True,False,False,False,unsupported target,MONDO_0018906,0.0
139565,ENSG00000182578,CSF1R,follicular lymphoma,MONDO_0018906,1.0,0.0,0.0,1.0,0.0,1.0,1.0,CSF1R-D008224,D008224,"Lymphoma, Follicular",Phase II,True,True,False,False,unsupported target,MONDO_0018906,0.0
142213,ENSG00000275302,CCL4,follicular lymphoma,MONDO_0018906,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CCL4-D008224,D008224,"Lymphoma, Follicular",Launched,True,True,True,True,unsupported target,MONDO_0018906,0.0
142369,ENSG00000010671,BTK,COVID-19,MONDO_0100096,0.0,0.0,0.0,1.0,0.0,1.0,1.0,BTK-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142370,ENSG00000010810,FYN,COVID-19,MONDO_0100096,0.0,1.0,1.0,0.0,0.0,1.0,1.0,FYN-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142372,ENSG00000013725,CD6,COVID-19,MONDO_0100096,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CD6-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142379,ENSG00000051382,PIK3CB,COVID-19,MONDO_0100096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,PIK3CB-D000086382,D000086382,COVID-19,Preclinical,False,False,False,False,unsupported target,,0.0
142385,ENSG00000065989,PDE4A,COVID-19,MONDO_0100096,1.0,1.0,1.0,0.0,0.0,1.0,1.0,PDE4A-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142408,ENSG00000087237,CETP,COVID-19,MONDO_0100096,1.0,0.0,0.0,1.0,0.0,1.0,1.0,CETP-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142419,ENSG00000096968,JAK2,COVID-19,MONDO_0100096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,JAK2-D000086382,D000086382,COVID-19,Launched,True,True,True,True,unsupported target,,0.0
142423,ENSG00000100385,IL2RB,COVID-19,MONDO_0100096,1.0,1.0,1.0,0.0,0.0,1.0,1.0,IL2RB-D000086382,D000086382,COVID-19,Phase I,True,False,False,False,unsupported target,,0.0
142443,ENSG00000105397,TYK2,COVID-19,MONDO_0100096,0.0,1.0,0.0,1.0,1.0,1.0,1.0,TYK2-D000086382,D000086382,COVID-19,Preclinical,False,False,False,False,unsupported target,,0.0
142446,ENSG00000105639,JAK3,COVID-19,MONDO_0100096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,JAK3-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142450,ENSG00000105851,PIK3CG,COVID-19,MONDO_0100096,0.0,1.0,1.0,0.0,0.0,1.0,1.0,PIK3CG-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142460,ENSG00000109861,CTSC,COVID-19,MONDO_0100096,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CTSC-D000086382,D000086382,COVID-19,Preclinical,False,False,False,False,unsupported target,,0.0
142467,ENSG00000111424,VDR,COVID-19,MONDO_0100096,1.0,1.0,0.0,1.0,0.0,1.0,1.0,VDR-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142468,ENSG00000111537,IFNG,COVID-19,MONDO_0100096,1.0,1.0,1.0,0.0,0.0,1.0,1.0,IFNG-D000086382,D000086382,COVID-19,Phase III,True,True,True,False,unsupported target,,0.0
142474,ENSG00000112715,VEGFA,COVID-19,MONDO_0100096,0.0,1.0,1.0,0.0,0.0,1.0,1.0,VEGFA-D000086382,D000086382,COVID-19,Phase III,True,True,True,False,unsupported target,,0.0
142477,ENSG00000113161,HMGCR,COVID-19,MONDO_0100096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,HMGCR-D000086382,D000086382,COVID-19,Preclinical,False,False,False,False,unsupported target,,0.0
142481,ENSG00000113448,PDE4D,COVID-19,MONDO_0100096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,PDE4D-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142482,ENSG00000113580,NR3C1,COVID-19,MONDO_0100096,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NR3C1-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142483,ENSG00000113721,PDGFRB,COVID-19,MONDO_0100096,1.0,1.0,1.0,0.0,0.0,1.0,1.0,PDGFRB-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142489,ENSG00000115020,PIKFYVE,COVID-19,MONDO_0100096,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PIKFYVE-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142500,ENSG00000117560,FASLG,COVID-19,MONDO_0100096,1.0,1.0,1.0,0.0,0.0,1.0,1.0,FASLG-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
142514,ENSG00000122025,FLT3,COVID-19,MONDO_0100096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,FLT3-D000086382,D000086382,COVID-19,Phase II,True,True,False,False,unsupported target,,0.0
